,Region,Year,Gender,Death Rate,Cause of Death,Population,Total Deaths,Life Expectancy,Age Range
48,Rajasthan,2003,Female,9.09,Resp,68775840,625483,68.7,0-18
49,Tamil Nadu,2015,Male,5,Cardio,75013923,375069,76.5,66+
50,Kerala,2004,Male,5,Accident,36710482,183552,79.1,66+
51,Kerala,2009,Female,5,Resp,38966612,194833,79.5,19-35
52,Karnataka,2000,Female,6.61,Infect,55000000,363340,72.9,36-50
53,Bihar,2011,Female,8.48,Resp,101636532,862010,67.2,19-35
54,Karnataka,2006,Male,5,Accident,60853898,304269,71.5,0-18
55,Karnataka,2003,Male,7.99,Resp,57852955,462448,72,19-35
56,West Bengal,2015,Female,5,Cardio,114195273,570976,72.4,66+
57,Uttar Pradesh,2002,Female,9.34,Infect,157593750,1472021,65.1,0-18
58,Maharashtra,2000,Female,7.34,Accident,50000000,367024,69.4,66+
59,West Bengal,2012,Female,5,Infect,108884736,544423,69.8,36-50
60,Kerala,2004,Female,5,Infect,36710482,183552,78.8,36-50
61,Andhra Pradesh,2003,Female,7.44,Infect,46916583,348834,72.6,19-35
62,Tamil Nadu,2001,Female,6.57,Cardio,60899999,400329,74.1,51-65
63,Maharashtra,2006,Female,5.69,Resp,55648911,316451,70.5,51-65
64,Tamil Nadu,2015,Female,5,Cancer,75013923,375069,79.4,19-35
65,Andhra Pradesh,2002,Female,6.75,Infect,46268820,312397,70.9,19-35
66,Kerala,2014,Male,5,Stroke,41361398,206806,80,19-35
67,Tamil Nadu,2004,Male,6.61,Accident,63681813,420735,75.6,51-65
68,Andhra Pradesh,2009,Male,5.08,Cardio,50998113,259241,72.9,36-50
69,Kerala,2001,Female,5.52,Resp,35420000,195615,75.8,36-50
70,Gujarat,2003,Female,7.04,Infect,74284560,523021,68.7,66+
71,Gujarat,2006,Male,6.44,Diabetes,78831369,507503,67.9,19-35
72,Uttar Pradesh,2011,Female,7.94,Cancer,196812998,1561823,68.1,0-18
73,Andhra Pradesh,2014,Male,5,Stroke,54669346,273346,74.7,19-35
74,Karnataka,2015,Male,5,Infect,70823434,354117,75.8,66+
75,Andhra Pradesh,2001,Male,6.68,Accident,45630000,304992,72.2,36-50
76,Gujarat,2002,Female,7.53,Infect,72828000,548275,68,51-65
77,Karnataka,2007,Female,5,Diabetes,61888414,309442,72.6,0-18
78,Karnataka,2008,Female,5.57,Stroke,62940518,350633,75.3,66+
79,Tamil Nadu,2012,Female,5,Infect,71737090,358685,78.2,19-35
80,Andhra Pradesh,2001,Male,6.86,Infect,45630000,313167,70,66+
81,Maharashtra,2010,Female,5.78,Resp,59765118,345249,72.6,51-65
82,Maharashtra,2001,Female,6.95,Cardio,50900000,353535,70.2,19-35
83,Maharashtra,2004,Female,6.48,Cardio,53698371,348138,72,51-65
84,Kerala,2009,Female,5,Infect,38966612,194833,79.6,19-35
85,Tamil Nadu,2013,Female,5,Infect,72813146,364065,79.2,36-50
86,Kerala,2009,Male,5,Stroke,38966612,194833,80,36-50
87,Karnataka,2013,Female,5,Infect,68475478,342377,77.4,51-65
88,Karnataka,2004,Male,5.98,Resp,58836455,352028,71.9,51-65
89,Gujarat,2001,Male,7.37,Cancer,71400000,525911,68.4,36-50
90,Andhra Pradesh,2005,Male,6.91,Infect,48239443,333542,70.1,51-65
91,Karnataka,2012,Female,5,Cardio,67330854,336654,75.2,36-50
92,Karnataka,2001,Male,7.36,Cardio,55934999,411756,69.9,36-50
93,Bihar,2014,Female,7.12,Cardio,108493202,772247,67.7,36-50
94,Tamil Nadu,2007,Male,5.07,Infect,66590694,337525,77.1,19-35
95,Uttar Pradesh,2012,Male,6.85,Infect,201733323,1381546,68.6,19-35
96,Gujarat,2004,Male,6.48,Resp,75770251,491215,69,0-18
97,Kerala,2012,Male,5,Accident,40386311,201931,80,0-18
98,Maharashtra,2009,Female,5.03,Infect,58708367,295408,73.3,51-65
99,West Bengal,2005,Female,6.49,Accident,97434115,632029,66.3,36-50
100,West Bengal,2002,Female,7.64,Resp,92903040,709399,68.3,36-50
101,Uttar Pradesh,2009,Male,7.29,Infect,187329445,1366520,65.8,36-50
102,Kerala,2006,Male,5,Cancer,37596820,187984,77.9,51-65
103,Tamil Nadu,2008,Male,5,Cardio,67589555,337947,78.6,19-35
104,Gujarat,2001,Female,7.28,Cancer,71400000,519890,68.1,51-65
105,Gujarat,2003,Male,7.39,Accident,74284560,549288,67.3,36-50
106,Andhra Pradesh,2000,Male,6.87,Accident,45000000,309192,69.4,0-18
107,West Bengal,2006,Male,5.35,Infect,98993061,529476,69.5,0-18
108,Gujarat,2001,Female,7.92,Resp,71400000,565392,68.6,66+
109,West Bengal,2005,Male,6.94,Accident,97434115,676484,70.3,51-65
110,Karnataka,2005,Female,6.14,Cardio,59836675,367389,69.8,19-35
111,Maharashtra,2009,Female,5,Stroke,58708367,293541,73,19-35
112,Bihar,2000,Female,10.5,Stroke,80000000,839921,62.8,19-35
113,Maharashtra,2008,Female,6.24,Diabetes,57670302,360105,72.9,36-50
114,Karnataka,2013,Female,5,Infect,68475478,342377,74.3,66+
115,Bihar,2002,Female,10.98,Accident,83558720,917799,62.9,51-65
116,Andhra Pradesh,2004,Female,6.08,Infect,47573415,289188,71.7,51-65
117,Kerala,2013,Male,5,Resp,40870947,204354,80,19-35
118,West Bengal,2013,Female,5.73,Resp,110626892,633427,70.1,36-50
119,Andhra Pradesh,2000,Male,6.73,Cancer,45000000,302690,70.1,19-35
120,Rajasthan,2002,Male,7.36,Cardio,67493464,496799,67.7,66+
121,Maharashtra,2003,Female,6.36,Accident,52748891,335287,71.3,51-65
122,Karnataka,2010,Male,5.33,Accident,65098685,346933,73.1,0-18
123,Kerala,2000,Male,5.37,Cardio,35000000,187777,76,51-65
124,Karnataka,2012,Male,5.27,Accident,67330854,354511,76.6,19-35
125,Karnataka,2003,Male,5.81,Cancer,57852955,336189,71.2,66+
126,Kerala,2013,Male,5,Cardio,40870947,204354,80,0-18
127,West Bengal,2011,Male,6.49,Cardio,107170016,695649,70.9,66+
128,West Bengal,2014,Female,5,Resp,112396922,561984,71,51-65
129,West Bengal,2008,Male,6.04,Accident,102186182,616730,68.9,66+
130,Tamil Nadu,2005,Male,5.53,Cardio,64637040,357304,76.6,66+
131,Karnataka,2014,Female,5,Cardio,69639561,348197,74.6,51-65
132,Bihar,2014,Male,7.89,Stroke,108493202,855475,66.8,36-50
133,Uttar Pradesh,2010,Male,7.74,Resp,192012681,1485380,65.5,36-50
134,Karnataka,2007,Male,6.52,Accident,61888414,403789,74.2,19-35
135,Karnataka,2000,Male,8.14,Accident,55000000,447607,69.4,66+
136,West Bengal,2000,Male,7.81,Resp,90000000,702626,67,36-50
137,Bihar,2013,Female,7.48,Accident,106157732,794393,67.4,36-50
138,Bihar,2001,Male,11.29,Cardio,81760000,923421,60,51-65
139,Uttar Pradesh,2013,Male,6.75,Cardio,206776656,1395883,67.2,51-65
140,Bihar,2015,Male,7.24,Stroke,110880052,803294,68.3,19-35
141,Uttar Pradesh,2006,Male,7.49,Cardio,173954012,1302696,66.1,19-35
142,West Bengal,2005,Female,7.05,Cancer,97434115,686933,67.4,51-65
143,Uttar Pradesh,2002,Male,9.72,Cardio,157593750,1532583,65,66+
144,Tamil Nadu,2004,Female,6,Cardio,63681813,381871,74.9,19-35
145,Rajasthan,2000,Female,9.18,Cardio,65000000,596939,67,51-65
146,Karnataka,2003,Female,7.06,Cardio,57852955,408319,70.1,19-35
147,Karnataka,2004,Male,6.67,Accident,58836455,392724,71.8,51-65
148,Kerala,2005,Male,5,Diabetes,37151008,185755,79.6,0-18
149,Maharashtra,2001,Female,7.43,Cardio,50900000,378434,71.4,36-50
150,Andhra Pradesh,2005,Male,6.11,Stroke,48239443,294705,71.8,51-65
151,Rajasthan,2004,Male,8.37,Accident,70082581,586827,67.3,51-65
152,Uttar Pradesh,2000,Female,9.27,Cardio,150000000,1389813,64.5,36-50
153,Karnataka,2010,Female,5,Cancer,65098685,325493,74.8,19-35
154,Karnataka,2006,Male,5,Accident,60853898,304269,71.5,66+
155,Uttar Pradesh,2011,Female,7.39,Cardio,196812998,1455113,66.5,51-65
156,Karnataka,2010,Male,5.12,Accident,65098685,332995,74.4,19-35
157,Gujarat,2001,Male,7.85,Cardio,71400000,560322,68.5,36-50
158,Tamil Nadu,2014,Male,5,Infect,73905343,369526,78.4,0-18
159,Uttar Pradesh,2008,Female,7.27,Cardio,182760434,1327935,65.1,36-50
160,West Bengal,2009,Female,6.25,Cardio,103821160,648868,70.2,19-35
161,Gujarat,2001,Female,7.14,Infect,71400000,509819,68.1,19-35
162,West Bengal,2002,Male,7.8,Cardio,92903040,724866,68.5,36-50
163,West Bengal,2008,Female,6.41,Diabetes,102186182,655504,69.6,36-50
164,Karnataka,2005,Male,6.18,Infect,59836675,369716,71.9,19-35
165,West Bengal,2001,Male,8.16,Infect,91440000,746565,67.2,66+
166,Uttar Pradesh,2010,Male,6.86,Cardio,192012681,1317776,68.4,36-50
167,Uttar Pradesh,2002,Female,8.06,Infect,157593750,1270204,63.3,36-50
168,West Bengal,2000,Female,8.32,Cardio,90000000,748433,65.5,51-65
169,Kerala,2011,Female,5,Accident,39907422,199537,80,19-35
170,Uttar Pradesh,2015,Male,6.24,Cancer,217244724,1355901,69.9,51-65
171,Andhra Pradesh,2015,Female,5,Resp,55434717,277173,74.3,19-35
172,Tamil Nadu,2004,Male,5.55,Cardio,63681813,353422,74.4,19-35
173,Tamil Nadu,2001,Male,6.53,Resp,60899999,397679,74.1,36-50
174,Maharashtra,2008,Female,5.88,Infect,57670302,339190,70.9,0-18
175,West Bengal,2010,Female,6.38,Accident,105482299,673351,71.6,36-50
176,Kerala,2010,Female,5,Accident,39434212,197171,80,19-35
177,Rajasthan,2000,Female,9.21,Infect,65000000,598666,65.4,66+
178,West Bengal,2002,Male,8.09,Resp,92903040,751505,68.3,36-50
179,Tamil Nadu,2013,Female,5,Diabetes,72813146,364065,78.5,0-18
180,Andhra Pradesh,2002,Male,6.67,Cancer,46268820,308404,70.4,51-65
181,Uttar Pradesh,2007,Male,8.54,Cardio,178302863,1523072,65.1,19-35
182,Gujarat,2004,Male,7.65,Cardio,75770251,579926,69.2,0-18
183,West Bengal,2001,Female,7.89,Resp,91440000,721641,66.9,36-50
184,West Bengal,2011,Male,5.37,Accident,107170016,575261,69.3,0-18
185,Karnataka,2009,Female,5,Cardio,64010506,320052,74.2,36-50
186,Kerala,2008,Male,5,Stroke,38504558,192522,79.2,51-65
187,Uttar Pradesh,2013,Female,7,Infect,206776656,1446516,67.9,36-50
188,Uttar Pradesh,2011,Female,7.15,Cancer,196812998,1406447,67.5,36-50
189,Kerala,2008,Female,5,Cancer,38504558,192522,79,51-65
190,Gujarat,2003,Female,7.31,Accident,74284560,542783,68.5,36-50
191,Gujarat,2000,Male,7.71,Cardio,70000000,539470,69.9,36-50
192,Tamil Nadu,2012,Female,5,Stroke,71737090,358685,77.5,0-18
193,Kerala,2001,Female,5.34,Cardio,35420000,189301,78.5,36-50
194,Tamil Nadu,2015,Male,5,Cardio,75013923,375069,78.1,51-65
195,West Bengal,2011,Female,6.52,Diabetes,107170016,699104,69.2,66+
196,Andhra Pradesh,2004,Male,6.88,Cardio,47573415,327388,70.3,19-35
197,Bihar,2015,Female,8.28,Cardio,110880052,917560,66.2,36-50
198,West Bengal,2011,Female,6.41,Cardio,107170016,687309,67.8,19-35
199,Karnataka,2007,Female,5.52,Cardio,61888414,341573,71.8,66+
200,Rajasthan,2000,Female,7.82,Cardio,65000000,508356,65.7,36-50
201,Gujarat,2005,Male,6.68,Accident,77285656,516476,70.5,19-35
202,West Bengal,2004,Male,7.16,Stroke,95899720,687049,68.1,36-50
203,Andhra Pradesh,2000,Male,7.09,Cardio,45000000,318956,69.4,51-65
204,Maharashtra,2011,Female,5,Cancer,60840890,304204,72.9,36-50
205,Maharashtra,2009,Female,5.5,Infect,58708367,323142,70.7,0-18
206,Maharashtra,2012,Male,5.12,Accident,61936026,316868,72.6,19-35
207,Kerala,2006,Male,5,Cardio,37596820,187984,79.7,0-18
208,Gujarat,2008,Female,6.59,Accident,82016156,540156,70.2,36-50
209,Tamil Nadu,2013,Female,5,Diabetes,72813146,364065,78.1,51-65
210,Bihar,2014,Male,8.84,Cardio,108493202,959386,65.7,0-18
211,Andhra Pradesh,2012,Female,5,Cardio,53170160,265850,73,19-35
212,Bihar,2011,Female,7.94,Cardio,101636532,807440,66.5,0-18
213,Bihar,2011,Male,8.39,Diabetes,101636532,853121,63.9,19-35
214,Rajasthan,2011,Female,6.77,Cardio,79952008,540990,70.2,51-65
215,Tamil Nadu,2011,Male,5.85,Resp,70676936,413632,77.6,51-65
216,Andhra Pradesh,2003,Female,7.04,Cardio,46916583,330261,70.9,51-65
217,Gujarat,2006,Male,6.36,Cancer,78831369,501043,68.4,66+
218,Uttar Pradesh,2007,Male,8.3,Resp,178302863,1480058,65.4,51-65
219,Rajasthan,2009,Male,5.4,Infect,76998278,415411,69.1,19-35
220,Andhra Pradesh,2013,Male,5,Accident,53914543,269572,71.1,51-65
221,Uttar Pradesh,2006,Male,7.86,Stroke,173954012,1367804,64.2,36-50
222,Karnataka,2014,Female,5,Diabetes,69639561,348197,74.9,51-65
223,Kerala,2012,Male,5,Accident,40386311,201931,79.5,36-50
224,Maharashtra,2008,Male,6.3,Accident,57670302,363453,70.8,19-35
225,Karnataka,2000,Female,7.55,Accident,55000000,415106,70.8,51-65
226,Tamil Nadu,2001,Female,6.66,Diabetes,60899999,405826,74.4,0-18
227,Rajasthan,2002,Male,8.96,Accident,67493464,604598,67.4,0-18
228,Uttar Pradesh,2007,Male,8.17,Accident,178302863,1456675,66.6,0-18
229,West Bengal,2014,Female,5,Resp,112396922,561984,71.6,36-50
230,Tamil Nadu,2015,Male,5,Accident,75013923,375069,77.8,19-35
231,Karnataka,2014,Male,5,Accident,69639561,348197,75.2,19-35
232,Kerala,2007,Male,5,Cancer,38047982,190239,80,36-50
233,Karnataka,2015,Female,5,Cardio,70823434,354117,75.1,36-50
234,Andhra Pradesh,2000,Female,6.93,Accident,45000000,311973,70.2,66+
235,Tamil Nadu,2001,Male,6.24,Resp,60899999,380274,75.1,51-65
236,Andhra Pradesh,2006,Female,5.17,Cardio,48914795,252667,70.9,51-65
237,Karnataka,2014,Female,5,Resp,69639561,348197,74.4,19-35
238,Andhra Pradesh,2000,Female,6.95,Accident,45000000,312681,70,36-50
239,West Bengal,2013,Male,5,Cardio,110626892,553134,70.2,36-50
240,Uttar Pradesh,2005,Male,7.92,Cardio,169711231,1344389,64,0-18
241,Karnataka,2014,Male,5,Cardio,69639561,348197,73,36-50
242,Karnataka,2006,Female,6.18,Infect,60853898,376044,73.1,0-18
243,Bihar,2014,Male,7.62,Resp,108493202,827045,65.9,66+
244,Karnataka,2003,Male,6.49,Accident,57852955,375462,73.3,19-35
245,Tamil Nadu,2013,Male,5,Infect,72813146,364065,78,19-35
246,Rajasthan,2012,Female,6.18,Cancer,81471097,503510,68.7,51-65
247,Tamil Nadu,2003,Female,5.67,Cardio,62740702,355688,76.1,0-18
248,Rajasthan,2005,Male,8.16,Diabetes,71414150,582927,67.9,36-50
249,West Bengal,2009,Male,5.86,Accident,103821160,608634,70.5,51-65
250,Karnataka,2003,Male,6.62,Accident,57852955,382858,72.8,51-65
251,Bihar,2003,Male,9.61,Cardio,85397011,820340,63.2,36-50
252,Uttar Pradesh,2000,Male,9.23,Cardio,150000000,1383938,63.1,36-50
253,Rajasthan,2015,Male,6.23,Infect,86203741,537027,68.8,19-35
254,Uttar Pradesh,2015,Female,6.19,Cardio,217244724,1344982,70.4,36-50
255,Andhra Pradesh,2000,Female,7.38,Cardio,45000000,332302,71.6,66+
256,Tamil Nadu,2007,Female,5,Infect,66590694,332953,75.1,51-65
257,Andhra Pradesh,2006,Female,6.15,Infect,48914795,300664,72.8,19-35
258,Karnataka,2007,Female,5.05,Accident,61888414,312682,73.8,36-50
259,Gujarat,2005,Male,7.35,Infect,77285656,567856,71.4,66+
260,Tamil Nadu,2007,Female,5,Infect,66590694,332953,76.7,36-50
261,Andhra Pradesh,2006,Male,5,Cardio,48914795,244573,71.3,0-18
262,Bihar,2007,Female,9.44,Accident,93163599,879138,64.9,66+
263,Karnataka,2003,Male,6.61,Infect,57852955,382557,72.2,19-35
264,Gujarat,2003,Male,7.25,Accident,74284560,538904,68.5,0-18
265,Andhra Pradesh,2004,Female,5.38,Resp,47573415,256035,71.7,66+
266,Rajasthan,2009,Female,6.92,Infect,76998278,533174,68.2,51-65
267,Karnataka,2003,Female,6.84,Resp,57852955,395900,69.6,36-50
268,West Bengal,2009,Female,5.82,Diabetes,103821160,604167,69.2,51-65
269,Karnataka,2002,Female,6.96,Cardio,56885894,395706,71.7,0-18
270,Gujarat,2000,Female,7.74,Accident,70000000,541931,68.9,36-50
271,Gujarat,2008,Male,6.65,Accident,82016156,545725,70.5,19-35
272,Tamil Nadu,2001,Male,5.7,Accident,60899999,346834,74.9,0-18
273,Rajasthan,2002,Female,7.99,Diabetes,67493464,539494,68.1,0-18
274,Uttar Pradesh,2012,Female,6.79,Infect,201733323,1370434,67.3,36-50
275,Maharashtra,2003,Female,6.82,Infect,52748891,359666,72.1,66+
276,Tamil Nadu,2003,Male,6.34,Stroke,62740702,397684,75.6,51-65
277,Bihar,2006,Female,9.87,Infect,91158120,899797,64.6,19-35
278,Rajasthan,2001,Male,8.03,Cardio,66234999,531660,66.7,36-50
279,Maharashtra,2012,Male,5,Stroke,61936026,309680,74.1,51-65
280,Tamil Nadu,2000,Male,6.49,Infect,60000000,389696,76.2,19-35
281,Karnataka,2009,Male,5.78,Accident,64010506,370243,72.8,0-18
282,Andhra Pradesh,2012,Male,5,Cardio,53170160,265850,73.5,51-65
283,Maharashtra,2007,Female,5.96,Cardio,56650591,337784,71.9,66+
284,West Bengal,2004,Male,7.37,Accident,95899720,706881,68.5,36-50
285,Maharashtra,2011,Female,5.23,Resp,60840890,318197,72.6,36-50
286,Karnataka,2007,Female,6,Accident,61888414,371115,74.3,0-18
287,Bihar,2007,Female,9,Cardio,93163599,838356,65.4,66+
288,Tamil Nadu,2014,Male,5,Resp,73905343,369526,77.8,36-50
289,Gujarat,2015,Female,5.3,Resp,94210783,499653,73.8,19-35
290,Uttar Pradesh,2002,Female,8.99,Cardio,157593750,1417450,64.5,19-35
291,Rajasthan,2013,Male,5.58,Resp,83019047,463100,70.8,66+
292,Gujarat,2012,Male,6.78,Cancer,88776925,602068,72,66+
293,Kerala,2014,Male,5,Infect,41361398,206806,79.9,66+
294,Kerala,2008,Female,5,Cardio,38504558,192522,79.1,66+
295,Maharashtra,2007,Male,5.95,Accident,56650591,337187,72.4,19-35
296,Andhra Pradesh,2014,Male,5,Accident,54669346,273346,75.8,36-50
297,Gujarat,2005,Female,7.86,Resp,77285656,607847,69.8,19-35
298,Karnataka,2014,Male,5,Diabetes,69639561,348197,73.7,51-65
299,Gujarat,2010,Male,5.05,Diabetes,85329609,430949,71.1,36-50
300,Rajasthan,2011,Male,5.7,Cardio,79952008,456000,69.1,51-65
301,West Bengal,2000,Male,8.44,Cardio,90000000,759959,66.6,51-65
302,Kerala,2004,Male,5.47,Infect,36710482,200889,79.1,51-65
303,Andhra Pradesh,2003,Male,6.11,Stroke,46916583,286545,71.5,0-18
304,Andhra Pradesh,2003,Male,6.45,Diabetes,46916583,302469,72.1,51-65
305,Kerala,2003,Female,5.19,Accident,36275180,188432,78.2,19-35
306,Karnataka,2005,Female,5.8,Infect,59836675,347232,72.1,0-18
307,Maharashtra,2006,Female,5.72,Infect,55648911,318193,72,36-50
308,Rajasthan,2003,Male,9.16,Cardio,68775840,629725,66.6,0-18
309,Bihar,2000,Male,10.71,Resp,80000000,857192,61.5,0-18
310,Gujarat,2004,Female,6.05,Cardio,75770251,458254,69.6,51-65
311,Maharashtra,2006,Female,6.24,Cardio,55648911,347250,70.4,0-18
312,Andhra Pradesh,2011,Female,5.83,Diabetes,52436056,305749,72.2,36-50
313,Gujarat,2014,Male,5.35,Accident,92363513,494319,70.8,51-65
314,Bihar,2012,Male,8.14,Infect,103872536,845118,66.4,0-18
315,Bihar,2004,Male,10.52,Accident,87275746,917833,63,19-35
316,Karnataka,2003,Male,6.48,Infect,57852955,374782,72.2,19-35
317,Rajasthan,2006,Female,7.16,Infect,72771019,521250,66.8,66+
318,Andhra Pradesh,2003,Male,6.45,Cancer,46916583,302608,70.7,0-18
319,Bihar,2006,Male,9.57,Resp,91158120,872085,64,51-65
320,Andhra Pradesh,2012,Female,5,Infect,53170160,265850,73.6,0-18
321,Kerala,2010,Male,5,Accident,39434212,197171,79.3,19-35
322,Uttar Pradesh,2015,Female,7.08,Diabetes,217244724,1538069,68.1,36-50
323,Andhra Pradesh,2004,Male,6.52,Resp,47573415,310321,70.5,66+
324,Maharashtra,2002,Male,5.99,Accident,51816200,310505,71.8,66+
325,Uttar Pradesh,2004,Male,8.83,Infect,165571933,1462322,64.6,19-35
326,West Bengal,2012,Female,5.25,Stroke,108884736,571887,70.8,51-65
327,Maharashtra,2001,Male,6.88,Accident,50900000,350277,71.5,19-35
328,Gujarat,2015,Female,5,Cardio,94210783,471053,71.5,36-50
329,Gujarat,2011,Female,5.65,Accident,87036201,491647,70.5,51-65
330,Bihar,2014,Male,7.65,Cardio,108493202,829482,65.7,19-35
331,Tamil Nadu,2005,Female,5.32,Stroke,64637040,343853,76,19-35
332,Kerala,2011,Female,5,Diabetes,39907422,199537,80,36-50
333,Maharashtra,2009,Male,5,Stroke,58708367,293541,70.6,51-65
334,Bihar,2004,Male,10.64,Accident,87275746,928205,62.5,0-18
335,West Bengal,2006,Male,6.63,Cancer,98993061,656712,69.7,19-35
336,Tamil Nadu,2005,Female,5,Accident,64637040,323185,76.8,0-18
337,West Bengal,2005,Female,6.75,Accident,97434115,657967,68.2,36-50
338,Karnataka,2003,Female,6.41,Infect,57852955,370959,73.3,36-50
339,Rajasthan,2004,Female,7.89,Cardio,70082581,553298,66.4,51-65
340,Tamil Nadu,2008,Male,5,Accident,67589555,337947,76,51-65
341,Andhra Pradesh,2003,Female,6,Accident,46916583,281346,72,36-50
342,Andhra Pradesh,2004,Female,6.05,Cancer,47573415,287858,72.2,36-50
343,Karnataka,2011,Male,5,Cardio,66205363,331026,75.9,0-18
344,Bihar,2014,Male,8.61,Accident,108493202,933972,67.7,51-65
345,Karnataka,2011,Female,5,Cardio,66205363,331026,74.6,51-65
346,West Bengal,2011,Male,5.4,Cardio,107170016,578607,70.8,0-18
347,Rajasthan,2015,Female,5.33,Diabetes,86203741,459639,70.9,19-35
348,Karnataka,2002,Male,6.86,Cardio,56885894,390063,71.8,19-35
349,Rajasthan,2008,Male,7.04,Cardio,75562588,532044,69.1,0-18
350,Rajasthan,2010,Female,5.84,Cardio,78461245,458462,68.4,19-35
351,Bihar,2002,Female,10.21,Resp,83558720,853232,62.6,51-65
352,Kerala,2005,Female,5,Cancer,37151008,185755,79.4,0-18
353,Rajasthan,2013,Male,6.18,Accident,83019047,513446,72.1,36-50
354,Tamil Nadu,2013,Male,5,Infect,72813146,364065,78,51-65
355,Maharashtra,2007,Male,5,Cardio,56650591,283252,72.9,19-35
356,Andhra Pradesh,2003,Female,6.71,Diabetes,46916583,315005,71.8,66+
357,Andhra Pradesh,2007,Female,6.32,Accident,49599602,313435,72.2,36-50
358,Bihar,2010,Male,9.73,Stroke,99448662,967669,65.9,51-65
359,Karnataka,2002,Male,7.09,Cancer,56885894,403184,72.1,0-18
360,Maharashtra,2007,Male,5.24,Cancer,56650591,296837,72,36-50
361,Tamil Nadu,2012,Male,5,Cardio,71737090,358685,79.3,36-50
362,Tamil Nadu,2006,Female,5.66,Cardio,65606595,371573,75.1,0-18
363,Uttar Pradesh,2007,Female,8.55,Infect,178302863,1525100,65.9,36-50
364,Gujarat,2009,Male,6.09,Accident,83656479,509459,68.6,0-18
365,Bihar,2015,Female,8.28,Cancer,110880052,918234,68.9,36-50
366,Maharashtra,2013,Male,5,Stroke,63050875,315254,73.1,0-18
